City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Tubualá,9.5167,-79.0333,78.33,86,100,9.24,PA,1627218500
Thinadhoo,0.5333,72.9333,81.73,72,44,6.17,MV,1627218501
Bogandé,12.9714,-0.1436,92.82,41,77,9.31,BF,1627218501
Saint George,37.1041,-113.5841,76.35,73,1,1.01,US,1627218502
Mogadishu,2.0371,45.3438,77.81,74,17,25.3,SO,1627218503
Lebu,-37.6167,-73.65,51.01,90,100,8.68,CL,1627218364
Villavieja,39.85,-0.1833,87.8,70,86,3.0,ES,1627218505
Saint-Philippe,-21.3585,55.7679,72.99,77,39,10.83,RE,1627218506
Arraial do Cabo,-22.9661,-42.0278,75.06,64,20,20.71,BR,1627218508
Riberalta,-10.9833,-66.1,79.0,78,5,0.0,BO,1627218509
Caniço,32.6333,-16.85,81.72,69,20,8.05,PT,1627218511
Kabinda,-6.1333,24.4833,90.45,19,29,9.04,CD,1627218512
Matam,15.6175,-13.3303,95.18,39,20,11.18,SN,1627218513
São João da Barra,-21.6403,-41.0511,75.29,64,0,10.76,BR,1627218514
São José da Coroa Grande,-8.8978,-35.1478,77.85,77,8,14.07,BR,1627218516
Camacupa,-12.0167,17.4833,79.63,21,0,6.76,AO,1627218517
Mwanza,-2.5167,32.9,81.25,34,0,10.51,TZ,1627218519
Tocopilla,-22.092,-70.1979,62.17,67,100,9.37,CL,1627218521
Hithadhoo,-0.6,73.0833,81.54,79,55,7.74,MV,1627218522
Ilhabela,-23.7781,-45.3581,74.93,39,0,1.41,BR,1627218522
Dordrecht,51.81,4.6736,80.28,69,26,4.0,NL,1627218524
Port Alfred,-33.5906,26.891,71.33,32,9,5.12,ZA,1627218525
Barranca,-10.75,-77.7667,62.76,83,51,4.34,PE,1627218527
Kumul,42.8,93.45,97.14,11,0,21.34,CN,1627218250
Mar del Plata,-38.0023,-57.5575,55.09,49,100,5.01,AR,1627218528
Cidreira,-30.1811,-50.2056,67.42,60,35,5.55,BR,1627218530
Mahuva,21.0914,71.7622,79.21,90,100,15.14,IN,1627218531
Vallenar,-28.5708,-70.7581,56.98,41,0,1.12,CL,1627218531
Khorixas,-20.3667,14.9667,80.67,17,0,17.72,NA,1627218533
Sinnamary,5.3833,-52.95,77.83,88,100,3.4,GF,1627218534
Taoudenni,22.6783,-3.9836,115.7,6,4,12.17,ML,1627218535
Calabozo,8.9242,-67.4293,75.88,91,100,2.8,VE,1627218378
Cape Town,-33.9258,18.4232,73.35,10,100,2.3,ZA,1627218537
Beloha,-25.1667,45.05,66.87,51,48,16.4,MG,1627218538
Mahébourg,-20.4081,57.7,73.26,66,4,15.77,MU,1627218540
Margate,51.3813,1.3862,73.18,91,58,3.0,GB,1627218541
Pochutla,15.7432,-96.4661,78.62,66,100,3.85,MX,1627218543
Talara,-4.5772,-81.2719,68.76,88,40,11.5,PE,1627218285
Hermanus,-34.4187,19.2345,70.81,49,100,2.33,ZA,1627218503
Rawson,-43.3002,-65.1023,44.94,46,12,11.54,AR,1627218544
Padang,-0.9492,100.3543,80.17,83,22,3.2,ID,1627218316
Rāhuri,19.3833,74.65,76.96,80,100,13.6,IN,1627218545
Marsaxlokk,35.8419,14.5431,92.01,31,0,8.05,MT,1627218545
Mchinji,-13.7984,32.8802,57.7,59,92,9.55,MW,1627218547
Jamestown,42.097,-79.2353,72.99,83,90,5.75,US,1627218548
Busselton,-33.65,115.3333,58.08,67,3,18.48,AU,1627218549
Komatipoort,-25.4332,31.9548,70.05,35,58,6.82,ZA,1627218425
Markivka,49.5229,39.5705,80.94,38,99,5.55,UA,1627218550
Strakonice,49.2614,13.9024,83.64,54,90,2.86,CZ,1627218375
Buchanan,5.8808,-10.0467,84.16,69,100,8.3,LR,1627218551
Goderich,43.7501,-81.7165,71.2,89,0,4.65,CA,1627218552
Bathsheba,13.2167,-59.5167,84.81,79,40,8.05,BB,1627218553
Cururupu,-1.8283,-44.8683,82.78,69,55,3.94,BR,1627218554
Secunda,-26.55,29.1667,57.33,35,0,1.99,ZA,1627218556
Celestún,20.8667,-90.4,78.33,86,100,5.61,MX,1627218557
Meiringen,46.7268,8.184,74.01,74,90,5.99,CH,1627218558
Bilma,18.6853,12.9164,100.15,28,81,5.77,NE,1627218559
Tabriz,38.08,46.2919,94.46,23,20,9.22,IR,1627218560
Quatá,-22.2475,-50.6983,71.64,33,0,13.51,BR,1627218562
Castro,-24.7911,-50.0119,63.82,47,0,7.9,BR,1627218563
Tshane,-24.0196,21.8684,66.25,21,0,13.29,BW,1627218565
Polonnaruwa,7.9333,81.0,83.75,63,98,13.38,LK,1627218566
George Town,5.4112,100.3354,86.9,74,20,8.05,MY,1627218566
Columbus,39.9612,-82.9988,76.1,94,90,4.61,US,1627218445
Kiryat Gat,31.61,34.7642,93.4,28,0,14.38,IL,1627218567
Shubarshi,48.5872,57.1869,87.91,18,1,12.12,KZ,1627218568
Ipixuna,-1.7625,-48.8043,84.15,49,29,2.89,BR,1627218569
Sabang,5.8933,95.3214,84.06,77,100,18.23,ID,1627218571
Worth,41.6898,-87.7973,79.11,80,20,3.0,US,1627218571
Bereda,43.2686,-7.5406,77.41,36,97,3.44,ES,1627218572
Saldanha,-33.0117,17.9442,66.58,43,100,20.98,ZA,1627218573
Seydi,39.4816,62.9137,110.01,9,0,24.65,TM,1627218304
